         x          IC           u           e
         0           0           0           0
     0.002   0.0201164  0.00354033  0.00353732
     0.004   0.0401867  0.00708053   0.0070745
     0.006   0.0601828   0.0106204   0.0106114
     0.008   0.0801063   0.0141599   0.0141479
      0.01   0.0999876   0.0176989   0.0176838
     0.012    0.119874   0.0212371    0.021219
     0.014     0.13981   0.0247745   0.0247534
     0.016    0.159822   0.0283109   0.0282868
     0.018    0.179904   0.0318462   0.0318191
      0.02    0.200025   0.0353803   0.0353502
     0.022    0.220136   0.0389129   0.0388798
     0.024    0.240193    0.042444   0.0424079
     0.026    0.260173   0.0459735   0.0459343
     0.028    0.280085   0.0495011    0.049459
      0.03    0.299963   0.0530268   0.0529816
     0.032    0.319855   0.0565504   0.0565022
     0.034    0.339805   0.0600717   0.0600205
     0.036    0.359832   0.0635907   0.0635365
     0.038    0.379926   0.0671071     0.06705
      0.04    0.400049    0.070621   0.0705608
     0.042    0.420153    0.074132   0.0740688
     0.044    0.440196   0.0776401   0.0775739
     0.046    0.460162   0.0811451    0.081076
     0.048    0.480063    0.084647   0.0845748
      0.05    0.499938   0.0881455   0.0880703
     0.052    0.519839   0.0916405   0.0915624
     0.054    0.539803   0.0951319   0.0950508
     0.056    0.559845   0.0986195   0.0985355
     0.058    0.579949    0.102103    0.102016
      0.06    0.600074    0.105583    0.105493
     0.062    0.620169    0.109059    0.108966
     0.064    0.640198     0.11253    0.112434
     0.066    0.660148    0.115997    0.115898
     0.068    0.680039    0.119459    0.119357
      0.07    0.699914    0.122916    0.122812
     0.072    0.719823    0.126369    0.126261
     0.074    0.739802    0.129817    0.129706
     0.076     0.75986    0.133259    0.133146
     0.078    0.779973    0.136697     0.13658
      0.08    0.800098    0.140128    0.140009
     0.082    0.820184    0.143555    0.143432
     0.084    0.840197    0.146976     0.14685
     0.086    0.860132     0.15039    0.150262
     0.088    0.880014    0.153799    0.153668
      0.09     0.89989    0.157202    0.157068
     0.092     0.91981    0.160599    0.160462
     0.094    0.939805    0.163989    0.163849
     0.096    0.959877    0.167373     0.16723
     0.098    0.979999     0.17075    0.170604
       0.1     1.00012    0.174121    0.173972
     0.102      1.0202    0.177485    0.177333
     0.104     1.04019    0.180841    0.180687
     0.106     1.06011    0.184191    0.184033
     0.108     1.07999    0.187533    0.187373
      0.11     1.09987    0.190868    0.190705
     0.112      1.1198    0.194195    0.194029
     0.114     1.13981    0.197515    0.197346
     0.116      1.1599    0.200827    0.200655
     0.118     1.18003    0.204131    0.203956
      0.12     1.20014    0.207427    0.207249
     0.122     1.22021    0.210714    0.210534
     0.124     1.24019    0.213994     0.21381
     0.126     1.26009    0.217265    0.217078
     0.128     1.27996    0.220527    0.220338
      0.13     1.29984    0.223781    0.223589
     0.132     1.31979    0.227025    0.226831
     0.134     1.33982    0.230261    0.230064
     0.136     1.35992    0.233488    0.233287
     0.138     1.38005    0.236706    0.236502
      0.14     1.40017    0.239914    0.239708
     0.142     1.42022    0.243113    0.242904
     0.144     1.44018    0.246302     0.24609
     0.146     1.46007    0.249481    0.249267
     0.148     1.47993    0.252651    0.252433
      0.15     1.49982     0.25581     0.25559
     0.152     1.51978     0.25896    0.258737
     0.154     1.53983    0.262099    0.261873
     0.156     1.55994    0.265228       0.265
     0.158     1.58008    0.268346    0.268115
      0.16     1.60019    0.271454     0.27122
     0.162     1.62022    0.274552    0.274315
     0.164     1.64017    0.277638    0.277398
     0.166     1.66005    0.280713    0.280471
     0.168      1.6799    0.283778    0.283533
      0.17      1.6998    0.286831    0.286583
     0.172     1.71978    0.289872    0.289622
     0.174     1.73984    0.292903     0.29265
     0.176     1.75997    0.295922    0.295666
     0.178     1.78011    0.298929     0.29867
      0.18     1.80021    0.301924    0.301663
     0.182     1.82023    0.304907    0.304643
     0.184     1.84015    0.307879    0.307612
     0.186     1.86002    0.310838    0.310569
     0.188     1.87987    0.313785    0.313513
      0.19     1.89978    0.316719    0.316445
     0.192     1.91977    0.319641    0.319364
     0.194     1.93986    0.322551    0.322271
     0.196        1.96    0.325448    0.325165
     0.198     1.98014    0.328331    0.328046
       0.2     2.00023    0.331202    0.330915
     0.202     2.02023     0.33406     0.33377
     0.204     2.04013    0.336905    0.336612
     0.206     2.05999    0.339736    0.339441
     0.208     2.07984    0.342554    0.342256
      0.21     2.09976    0.345358    0.345058
     0.212     2.11977    0.348149    0.347846
     0.214     2.13988    0.350926    0.350621
     0.216     2.16003     0.35369    0.353381
     0.218     2.18017    0.356439    0.356128
      0.22     2.20025    0.359174    0.358861
     0.222     2.22023    0.361895    0.361579
     0.224     2.24011    0.364602    0.364283
     0.226     2.25995    0.367294    0.366973
     0.228     2.27981    0.369972    0.369648
      0.23     2.29974    0.372635    0.372309
     0.232     2.31978    0.375284    0.374955
     0.234      2.3399    0.377917    0.377586
     0.236     2.36006    0.380536    0.380203
     0.238     2.38021     0.38314    0.382804
      0.24     2.40027    0.385728     0.38539
     0.242     2.42022    0.388302    0.387961
     0.244     2.44009     0.39086    0.390517
     0.246     2.45992    0.393403    0.393057
     0.248     2.47978     0.39593    0.395582
      0.25     2.49972    0.398441    0.398091
     0.252     2.51978    0.400937    0.400584
     0.254     2.53993    0.403417    0.403062
     0.256      2.5601    0.405881    0.405524
     0.258     2.58024    0.408329    0.407969
      0.26     2.60028    0.410761    0.410399
     0.262     2.62021    0.413177    0.412812
     0.264     2.64006    0.415576    0.415209
     0.266     2.65988    0.417959     0.41759
     0.268     2.67974    0.420326    0.419954
      0.27     2.69971    0.422676    0.422302
     0.272     2.71979    0.425009    0.424633
     0.274     2.73996    0.427325    0.426947
     0.276     2.76014    0.429625    0.429244
     0.278     2.78028    0.431908    0.431525
      0.28      2.8003    0.434173    0.433788
     0.282      2.8202    0.436422    0.436034
     0.284     2.84002    0.438653    0.438263
     0.286     2.85983    0.440867    0.440475
     0.288     2.87971    0.443063    0.442669
      0.29     2.89969    0.445242    0.444846
     0.292     2.91981    0.447404    0.447005
     0.294        2.94    0.449548    0.449147
     0.296     2.96019    0.451674    0.451271
     0.298     2.98031    0.453782    0.453377
       0.3     3.00031    0.455872    0.455465
     0.302     3.02019    0.457945    0.457535
     0.304     3.03998    0.459999    0.459587
     0.306     3.05978    0.462035    0.461621
     0.308     3.07967    0.464053    0.463637
      0.31     3.09968    0.466053    0.465634
     0.312     3.11983    0.468034    0.467614
     0.314     3.14004    0.469997    0.469574
     0.316     3.16024    0.471941    0.471516
     0.318     3.18035    0.473866     0.47344
      0.32     3.20032    0.475773    0.475344
     0.322     3.22016    0.477661     0.47723
     0.324     3.23993     0.47953    0.479098
     0.326     3.25973    0.481381    0.480946
     0.328     3.27962    0.483212    0.482775
      0.33     3.29967    0.485024    0.484585
     0.332     3.31985    0.486817    0.486376
     0.334      3.3401    0.488591    0.488148
     0.336     3.36031    0.490346    0.489901
     0.338      3.3804    0.492081    0.491634
      0.34     3.40033    0.493797    0.493348
     0.342     3.42013    0.495493    0.495042
     0.344     3.43987     0.49717    0.496717
     0.346     3.45966    0.498827    0.498372
     0.348     3.47958    0.500464    0.500008
      0.35     3.49966    0.502082    0.501624
     0.352     3.51989     0.50368     0.50322
     0.354     3.54016    0.505258    0.504796
     0.356     3.56038    0.506816    0.506352
     0.358     3.58045    0.508354    0.507888
      0.36     3.60034    0.509872    0.509405
     0.362     3.62009     0.51137    0.510901
     0.364      3.6398    0.512848    0.512377
     0.366     3.65958    0.514305    0.513832
     0.368     3.67952    0.515742    0.515268
      0.37     3.69966    0.517159    0.516683
     0.372     3.71994    0.518556    0.518077
     0.374     3.74025    0.519932    0.519451
     0.376     3.76047    0.521287    0.520805
     0.378     3.78051    0.522622    0.522138
      0.38     3.80034    0.523936    0.523451
     0.382     3.82003     0.52523    0.524743
     0.384      3.8397    0.526503    0.526014
